Time,Power - Solarpanels - L1,Power - Solarpanels - L2,Power - Solarpanels - L3,Total solar production
1612332000000.00,898,886,890,2674
1612353600000.00,-96,-56,10,-142
1612375200000.00,-96,-56,11,-141
1612396800000.00,-43,-44,-25,-112
1612418400000.00,4002,3957,3900,11859
1612440000000.00,-44,-44,-25,-113
1612461600000.00,-46,-46,-24,-116
1612483200000.00,-44,-45,-25,-114
1612504800000.00,7609,7547,7393,22549
1612526400000.00,-80,-59,-25,-164
1612548000000.00,-46,-45,-24,-115
1612569600000.00,-45,-45,-24,-114
1612591200000.00,6348,6290,6180,18818
1612612800000.00,-79,-60,-25,-164
1612634400000.00,-45,-45,-25,-115
1612656000000.00,-46,-46,-24,-116
1612677600000.00,1024,1000,1009,3033
1612699200000.00,-20,-48,-80,-148
1612720800000.00,-93,-56,5,-144
1612742400000.00,-44,-44,-25,-113
1612764000000.00,968,955,961,2884
1612785600000.00,-46,-46,-22,-114
1612807200000.00,-51,-49,-23,-123
1612828800000.00,-45,-44,-23,-112
1612850400000.00,4238,4199,4132,12569
1612872000000.00,-47,-45,-24,-116
1612893600000.00,-96,-57,12,-141
1612915200000.00,-46,-46,-25,-117
1612936800000.00,4900,4850,4778,14528
1612958400000.00,-95,-56,13,-138
1612980000000.00,-46,-44,-24,-114
1613001600000.00,-46,-44,-21,-111
1613023200000.00,6419,6362,6246,19027
1613044800000.00,-95,-55,12,-138
1613066400000.00,-46,-44,-25,-115
1613088000000.00,-47,-44,-23,-114
1613109600000.00,9277,9181,9018,27476
1613131200000.00,-46,-44,-23,-113
1613152800000.00,-45,-45,-24,-114
1613174400000.00,-45,-43,-23,-111
1613196000000.00,11082,11015,10934,33031
1613217600000.00,-45,-43,-24,-112
1613239200000.00,-46,-43,-24,-113
1613260800000.00,-46,-44,-23,-113
1613282400000.00,17171,17013,16882,51066
1613304000000.00,3,-34,-58,-89
1613325600000.00,-96,-56,12,-140
1613347200000.00,-45,-43,-23,-111
1613368800000.00,3538,3531,3567,10636
1613390400000.00,-46,-46,-22,-114
1613412000000.00,-47,-43,-23,-113
1613433600000.00,-46,-44,-23,-113
1613455200000.00,13005,12880,12643,38528
1613476800000.00,-46,-44,-25,-115
1613498400000.00,-95,-56,12,-139
1613520000000.00,-46,-43,-24,-113
1613541600000.00,10279,10178,10015,30472
1613563200000.00,-1,-35,-58,-94
1613584800000.00,-48,-46,-23,-117
1613606400000.00,-44,-44,-24,-112
1613628000000.00,5060,5016,4928,15004
1613649600000.00,-47,-45,-24,-116
1613671200000.00,-46,-43,-24,-113
1613692800000.00,-46,-44,-24,-114
1613714400000.00,16449,16291,15980,48720
1613736000000.00,-47,-45,-22,-114
1613757600000.00,-47,-44,-23,-114
1613779200000.00,-46,-45,-24,-115
1613800800000.00,23434,23160,22811,69405
1613822400000.00,-47,-46,-23,-116
1613844000000.00,-96,-56,12,-140
1613865600000.00,-95,-56,12,-139
1613887200000.00,19311,19144,18803,57258
1613908800000.00,2,-34,-59,-91
1613930400000.00,-46,-45,-23,-114
1613952000000.00,-45,-44,-23,-112
1613973600000.00,18271,18123,17784,54178
1613995200000.00,-46,-46,-22,-114
1614016800000.00,-47,-46,-25,-118
1614038400000.00,-95,-56,10,-141
1614060000000.00,31158,30825,30337,92320
1614081600000.00,-46,-44,-23,-113
1614103200000.00,-47,-45,-24,-116
1614124800000.00,-46,-44,-23,-113
1614146400000.00,24761,24550,24095,73406
1614168000000.00,-48,-46,-23,-117
1614189600000.00,-48,-45,-23,-116
1614211200000.00,-47,-45,-23,-115
1614232800000.00,21614,21458,21029,64101
1614254400000.00,-48,-46,-24,-118
1614276000000.00,-48,-46,-23,-117
1614297600000.00,-46,-45,-23,-114
1614319200000.00,27358,27099,26597,81054
1614340800000.00,-47,-45,-24,-116
1614362400000.00,-48,-44,-23,-115
1614384000000.00,-47,-45,-22,-114
1614405600000.00,30956,30701,30112,91769
1614427200000.00,-47,-44,-24,-115
1614448800000.00,-47,-46,-23,-116
1614470400000.00,-47,-45,-22,-114
1614492000000.00,26566,26337,25852,78755
1614513600000.00,-47,-45,-23,-115
1614535200000.00,-48,-45,-23,-116
1614556800000.00,-47,-45,-23,-115
1614578400000.00,26960,26767,26218,79945
1614600000000.00,-47,-44,-23,-114
1614621600000.00,-48,-45,-24,-117
1614643200000.00,-47,-44,-23,-114
1614664800000.00,26337,26146,25597,78080
1614686400000.00,-48,-45,-24,-117
1614708000000.00,-47,-45,-23,-115
1614729600000.00,-47,-44,-22,-113
1614751200000.00,22814,22648,22164,67626
1614772800000.00,-45,-44,-24,-113
1614794400000.00,-48,-46,-24,-118
1614816000000.00,-47,-44,-24,-115
1614837600000.00,1496,1478,1473,4447
1614859200000.00,-47,-45,-23,-115
1614880800000.00,-47,-45,-21,-113
1614902400000.00,-46,-45,-22,-113
1614924000000.00,24122,23882,23418,71422
1614945600000.00,-47,-46,-22,-115
1614967200000.00,-48,-46,-23,-117
1614988800000.00,-45,-45,-22,-112
1615010400000.00,29326,29096,28515,86937
1615032000000.00,-45,-45,-22,-112
1615053600000.00,-47,-46,-22,-115
1615075200000.00,3,-34,-55,-86
1615096800000.00,15354,15263,14948,45565
1615118400000.00,3,-35,-56,-88
1615140000000.00,-46,-44,-23,-113
1615161600000.00,-46,-44,-23,-113
1615183200000.00,28493,28305,27666,84464
1615204800000.00,1,-35,-56,-90
1615226400000.00,-45,-44,-24,-113
1615248000000.00,-46,-44,-22,-112
1615269600000.00,10498,10389,10200,31087
1615291200000.00,-46,-45,-21,-112
1615312800000.00,-47,-44,-24,-115
1615334400000.00,-46,-44,-22,-112
1615356000000.00,21777,21560,21348,64685
1615377600000.00,-46,-45,-25,-116
1615399200000.00,-97,-55,12,-140
1615420800000.00,5,-35,-56,-86
1615442400000.00,14871,14728,14473,44072
1615464000000.00,-45,-43,-23,-111
1615485600000.00,-94,-58,6,-146
1615507200000.00,-39,-44,-24,-107
1615528800000.00,3761,3729,3671,11161
1615550400000.00,-43,-44,-25,-112
1615572000000.00,-93,-55,11,-137
1615593600000.00,-42,-46,-21,-109
1615615200000.00,20510,20286,19959,60755
1615636800000.00,-40,-44,-22,-106
1615658400000.00,-97,-56,11,-142
1615680000000.00,-39,-45,-22,-106
1615701600000.00,40791,40264,39979,121034
1615723200000.00,-39,-44,-23,-106
1615744800000.00,-48,-46,-22,-116
1615766400000.00,-39,-44,-22,-105
1615788000000.00,26177,25945,25447,77569
1615809600000.00,-29,-35,-12,-76
1615831200000.00,-47,-45,-25,-117
1615852800000.00,-39,-45,-25,-109
